City,Date,PM2_5,PM10,NO2,SO2
Dungarpur,18-12-2025 14:00:00,154.0,116.0,29.0,7.0
Baddi,18-12-2025 14:00:00,337.0,281.0,56.0,60.0
Durgapur,18-12-2025 14:00:00,152.33333333333334,126.33333333333333,34.0,16.0
Sonipat,18-12-2025 14:00:00,290.0,172.0,42.0,8.0
Chhapra,18-12-2025 14:00:00,68.0,77.0,,45.0
Maihar,18-12-2025 14:00:00,20.0,41.0,65.0,17.0
Motihari,18-12-2025 14:00:00,69.0,90.0,5.0,3.0
Haldia,18-12-2025 14:00:00,293.0,162.0,25.0,16.0
Buxar,18-12-2025 14:00:00,,,,
Kishanganj,18-12-2025 14:00:00,41.0,194.0,12.0,8.0
Agra,18-12-2025 14:00:00,150.0,145.6,21.333333333333332,26.0
Solapur,18-12-2025 14:00:00,113.5,113.5,35.0,4.5
Ahmedabad,18-12-2025 14:00:00,115.57142857142857,124.375,55.142857142857146,25.0
Rupnagar,18-12-2025 14:00:00,207.0,134.0,4.0,13.0
Nagpur,18-12-2025 14:00:00,131.5,119.25,44.25,51.5
Karauli,18-12-2025 14:00:00,93.0,89.0,45.0,7.0
Sasaram,18-12-2025 14:00:00,87.0,151.0,2.0,4.0
Kadapa,18-12-2025 14:00:00,79.0,78.0,26.0,13.0
Surat,18-12-2025 14:00:00,,,,
Mandideep,18-12-2025 14:00:00,220.0,248.0,,
Mira-Bhayandar,18-12-2025 14:00:00,101.0,113.0,49.0,4.0
Kolhapur,18-12-2025 14:00:00,97.5,86.0,26.0,3.5
Madurai,18-12-2025 14:00:00,,,,
Churu,18-12-2025 14:00:00,215.0,242.0,59.0,7.0
Vatva,18-12-2025 14:00:00,100.0,105.0,36.0,3.0
Mysuru,18-12-2025 14:00:00,31.0,55.0,20.0,6.0
Panipat,18-12-2025 14:00:00,68.0,138.0,31.0,11.0
Pratapgarh,18-12-2025 14:00:00,92.0,98.0,34.0,6.0
Ajmer,18-12-2025 14:00:00,77.0,117.0,18.0,19.0
Vapi,18-12-2025 14:00:00,90.0,105.0,6.0,31.0
Tumidih,18-12-2025 14:00:00,84.0,120.0,70.0,7.0
Khurja,18-12-2025 14:00:00,204.0,171.0,6.0,15.0
Muzaffarnagar,18-12-2025 14:00:00,238.0,156.0,53.0,10.0
Indore,18-12-2025 14:00:00,92.2,76.6,29.2,27.6
Bikaner,18-12-2025 14:00:00,173.0,223.0,82.0,15.0
Rajsamand,18-12-2025 14:00:00,78.0,76.0,35.0,9.0
Kalyan,18-12-2025 14:00:00,129.0,162.0,33.0,20.0
Bhubaneswar,18-12-2025 14:00:00,301.0,202.5,53.5,24.5
Mandikhera,18-12-2025 14:00:00,114.0,112.0,21.0,34.0
Bhilai,18-12-2025 14:00:00,61.666666666666664,67.0,37.666666666666664,11.0
Tirupati,18-12-2025 14:00:00,52.0,61.0,14.0,17.0
Thane,18-12-2025 14:00:00,65.0,122.5,44.0,12.0
Chandrapur,18-12-2025 14:00:00,96.0,108.0,34.0,9.0
Pune,18-12-2025 14:00:00,224.77777777777777,179.88888888888889,54.22222222222222,8.0
Thiruvananthapuram,18-12-2025 14:00:00,100.0,66.0,8.0,8.0
Rairangpur,18-12-2025 14:00:00,52.0,129.0,11.0,19.0
Mandi Gobindgarh,18-12-2025 14:00:00,218.0,191.0,24.0,27.0
Jalgaon,18-12-2025 14:00:00,145.0,118.0,12.0,6.0
Parbhani,18-12-2025 14:00:00,162.0,133.0,45.0,6.0
Kohima,18-12-2025 14:00:00,31.0,25.0,3.0,74.0
Malegaon,18-12-2025 14:00:00,116.0,142.0,37.0,31.0
Jaipur,18-12-2025 14:00:00,182.83333333333334,173.16666666666666,78.83333333333333,13.833333333333334
Barbil,18-12-2025 14:00:00,269.0,173.0,29.0,13.0
Sangli,18-12-2025 14:00:00,121.0,133.0,48.0,11.0
Baran,18-12-2025 14:00:00,43.0,119.0,45.0,6.0
Nashik,18-12-2025 14:00:00,133.25,129.5,25.25,17.0
Greater Noida,18-12-2025 14:00:00,331.0,262.5,62.0,18.0
Kollam,18-12-2025 14:00:00,,,,
Siwan,18-12-2025 14:00:00,106.0,106.0,1.0,3.0
Belapur,18-12-2025 14:00:00,40.0,54.0,23.0,16.0
Dausa,18-12-2025 14:00:00,107.0,133.0,68.0,5.0
Jabalpur,18-12-2025 14:00:00,67.25,70.75,34.25,11.0
Bhiwadi,18-12-2025 14:00:00,250.5,200.5,58.0,17.0
Chittoor,18-12-2025 14:00:00,162.0,117.0,36.0,9.0
Chhal,18-12-2025 14:00:00,70.0,77.0,11.0,17.0
Chennai,18-12-2025 14:00:00,77.28571428571429,91.71428571428571,11.75,10.714285714285714
Amaravati,18-12-2025 14:00:00,150.0,154.0,61.0,11.0
Yadgir,18-12-2025 14:00:00,142.0,109.0,9.0,11.0
Prayagraj,18-12-2025 14:00:00,121.66666666666667,97.66666666666667,7.666666666666667,44.0
Anantapur,18-12-2025 14:00:00,94.0,85.0,22.0,11.0
Ambala,18-12-2025 14:00:00,159.0,115.0,22.0,31.0
Jalna,18-12-2025 14:00:00,100.0,109.0,17.0,12.0
Mumbai,18-12-2025 14:00:00,113.2,132.8235294117647,65.22222222222223,12.75
Munger,18-12-2025 14:00:00,219.0,129.0,5.0,44.0
Sirsa,18-12-2025 14:00:00,33.0,39.0,18.0,15.0
Nagaur,18-12-2025 14:00:00,189.0,214.0,56.0,5.0
Palwal,18-12-2025 14:00:00,127.0,122.0,24.0,12.0
Sivasagar,18-12-2025 14:00:00,52.0,46.0,36.0,16.0
Amritsar,18-12-2025 14:00:00,148.0,124.0,17.0,20.0
Sri Vijaya Puram,18-12-2025 14:00:00,,,12.0,
Satna,18-12-2025 14:00:00,53.0,74.0,12.0,20.0
Byrnihat,18-12-2025 14:00:00,166.0,98.0,7.0,7.0
Coimbatore,18-12-2025 14:00:00,42.0,44.0,11.0,22.0
Ghaziabad,18-12-2025 14:00:00,333.25,286.5,68.25,15.0
Siliguri,18-12-2025 14:00:00,57.0,86.0,15.0,15.0
Karur,18-12-2025 14:00:00,,,,
Muzaffarpur,18-12-2025 14:00:00,150.33333333333334,97.0,17.0,10.0
Chikkamagaluru,18-12-2025 14:00:00,46.0,54.0,20.0,4.0
Aurangabad,18-12-2025 14:00:00,107.66666666666667,151.0,31.666666666666668,12.666666666666666
Brajrajnagar,18-12-2025 14:00:00,96.0,111.0,16.0,19.0
Dehradun,18-12-2025 14:00:00,260.0,114.0,3.0,2.0
Pithampur,18-12-2025 14:00:00,162.0,128.0,28.0,14.0
Bathinda,18-12-2025 14:00:00,129.0,86.0,12.0,15.0
Vijayawada,18-12-2025 14:00:00,69.33333333333333,65.0,34.75,13.25
Kunjemura,18-12-2025 14:00:00,59.0,114.0,34.0,19.0
Panchkula,18-12-2025 14:00:00,349.0,,25.0,9.0
Udaipur,18-12-2025 14:00:00,97.0,111.0,39.0,9.0
Ulhasnagar,18-12-2025 14:00:00,152.0,160.0,26.0,10.0
Dewas,18-12-2025 14:00:00,62.0,90.0,7.0,50.0
Sirohi,18-12-2025 14:00:00,62.0,82.0,52.0,6.0
Barmer,18-12-2025 14:00:00,81.0,122.0,43.0,9.0
Charkhi Dadri,18-12-2025 14:00:00,163.0,125.0,15.0,10.0
Madikeri,18-12-2025 14:00:00,39.0,39.0,,7.0
Alwar,18-12-2025 14:00:00,58.0,85.0,69.0,35.0
Tirupur,18-12-2025 14:00:00,,,,
Moradabad,18-12-2025 14:00:00,149.83333333333334,128.5,27.0,47.666666666666664
Davanagere,18-12-2025 14:00:00,68.0,,30.0,6.0
Jalandhar,18-12-2025 14:00:00,157.0,158.0,34.0,19.0
Amravati,18-12-2025 14:00:00,100.0,109.0,36.0,25.5
Bileipada,18-12-2025 14:00:00,281.0,191.0,7.0,10.0
Bilaspur,18-12-2025 14:00:00,72.0,83.0,28.0,15.0
Ballabgarh,18-12-2025 14:00:00,296.0,227.0,20.0,7.0
Agartala,18-12-2025 14:00:00,31.0,63.0,13.0,8.0
Damoh,18-12-2025 14:00:00,27.0,33.0,,10.0
Keonjhar,18-12-2025 14:00:00,74.0,96.0,43.0,8.0
Kaithal,18-12-2025 14:00:00,110.0,121.0,31.0,32.0
Navi Mumbai,18-12-2025 14:00:00,107.0,133.2,32.166666666666664,13.8
Yamuna Nagar,18-12-2025 14:00:00,,,,
Shillong,18-12-2025 14:00:00,144.0,10.0,15.0,8.5
Boisar,18-12-2025 14:00:00,,,,
Narnaul,18-12-2025 14:00:00,215.0,196.0,93.0,4.0
Kannur,18-12-2025 14:00:00,58.0,65.0,17.0,5.0
Araria,18-12-2025 14:00:00,157.0,101.0,15.0,11.0
Karnal,18-12-2025 14:00:00,168.0,141.0,6.0,23.0
Gaya,18-12-2025 14:00:00,162.0,179.0,7.0,14.5
Dharwad,18-12-2025 14:00:00,,80.0,,3.0
Akola,18-12-2025 14:00:00,78.0,89.0,39.0,11.0
Aizawl,18-12-2025 14:00:00,38.0,37.0,,14.0
Jind,18-12-2025 14:00:00,185.0,118.0,45.0,13.0
Virar,18-12-2025 14:00:00,130.0,127.0,40.0,10.0
Meerut,18-12-2025 14:00:00,246.33333333333334,197.0,32.0,13.0
Ratlam,18-12-2025 14:00:00,82.0,135.0,13.0,33.0
Sri Ganganagar,18-12-2025 14:00:00,76.0,209.0,59.0,4.0
Nagaon,18-12-2025 14:00:00,110.0,100.0,1.0,13.0
Milupara,18-12-2025 14:00:00,,,,
Jalore,18-12-2025 14:00:00,156.0,167.0,63.0,4.0
Tensa,18-12-2025 14:00:00,,112.0,,27.0
Howrah,18-12-2025 14:00:00,217.2,162.6,28.4,11.2
Suakati,18-12-2025 14:00:00,,,,
Chandigarh,18-12-2025 14:00:00,269.3333333333333,150.66666666666666,53.0,10.333333333333334
Cuddalore,18-12-2025 14:00:00,91.0,,14.0,20.0
Jhunjhunu,18-12-2025 14:00:00,135.0,215.0,63.0,7.0
Bahadurgarh,18-12-2025 14:00:00,292.0,177.0,13.0,7.0
Mahad,18-12-2025 14:00:00,104.0,134.0,26.0,28.0
Hapur,18-12-2025 14:00:00,211.0,127.0,13.0,21.0
Talcher,18-12-2025 14:00:00,283.0,224.0,69.0,66.0
Vrindavan,18-12-2025 14:00:00,41.0,69.0,12.0,12.0
Bhiwandi,18-12-2025 14:00:00,125.0,146.0,31.0,10.0
Nanded,18-12-2025 14:00:00,77.0,126.0,27.0,4.0
Sawai Madhopur,18-12-2025 14:00:00,135.0,161.0,33.0,5.0
Bhopal,18-12-2025 14:00:00,138.33333333333334,145.66666666666666,60.666666666666664,10.0
Purnia,18-12-2025 14:00:00,100.0,78.0,6.0,15.0
Gorakhpur,18-12-2025 14:00:00,80.0,100.0,11.0,36.0
Jodhpur,18-12-2025 14:00:00,97.2,122.6,41.6,7.2
Rajgir,18-12-2025 14:00:00,178.0,128.0,9.0,21.0
Varanasi,18-12-2025 14:00:00,120.0,126.75,26.25,24.75
Hyderabad,18-12-2025 14:00:00,74.6,97.25,18.333333333333332,14.166666666666666
Ludhiana,18-12-2025 14:00:00,114.0,130.0,,17.0
Badlapur,18-12-2025 14:00:00,115.0,131.0,27.0,9.0
Samastipur,18-12-2025 14:00:00,79.0,59.0,9.0,27.0
Angul,18-12-2025 14:00:00,314.0,180.0,40.0,7.0
Khanna,18-12-2025 14:00:00,199.0,163.0,28.0,11.0
Bihar Sharif,18-12-2025 14:00:00,235.0,128.0,9.0,10.0
Begusarai,18-12-2025 14:00:00,143.0,140.0,14.0,61.0
Rourkela,18-12-2025 14:00:00,132.5,117.0,12.0,6.0
Faridabad,18-12-2025 14:00:00,231.33333333333334,177.66666666666666,31.333333333333332,6.0
Rishikesh,18-12-2025 14:00:00,80.0,80.0,22.0,3.0
Arrah,18-12-2025 14:00:00,75.0,82.0,7.0,10.0
Naharlagun,18-12-2025 14:00:00,,,,
Latur,18-12-2025 14:00:00,146.0,110.0,32.0,6.0
Kanpur,18-12-2025 14:00:00,122.33333333333333,106.66666666666667,20.666666666666668,17.333333333333332
Shivamogga,18-12-2025 14:00:00,25.0,42.0,25.0,3.0
Balasore,18-12-2025 14:00:00,,155.0,26.0,18.0
Hajipur,18-12-2025 14:00:00,152.0,90.0,45.0,8.0
"Gulzarpet, Anantapur, India",2024-04-23 16:00:00,106.0,81.0,4.9,2.5
"Anand Kala Kshetram, Rajamahendravaram, India",2024-04-23 16:00:00,89.0,58.0,6.4,4.7
"Tirumala-APPCB, Tirupati, India",2024-04-23 16:00:00,81.0,57.0,9.4,5.0
"PWD Grounds, Vijayawada, India",2020-11-19 16:00:00,52.0,NaN,0.7,4.9
"Naharlagun, Naharlagun, India",2024-04-23 11:00:00,5.0,43.0,1.1,1.6
"Pan Bazaar, Guwahati, India",2024-04-23 16:00:00,81.0,72.0,0.3,21.9
"D M Colony, Bihar Sharif, India",2024-04-23 16:00:00,69.0,47.0,3.8,1.4
"New DM Office, Arrah, India",2024-04-23 16:00:00,77.0,79.0,1.5,8.5
"DRCC Anandpur, Begusarai, India",2023-12-22 18:00:00,262.0,152.0,34.0,6.8
"Kamalnath Nagar, Bettiah, India",2024-04-23 16:00:00,174.0,116.0,3.0,1.8
"DM Office_Kachari Chowk, Bhagalpur, India",2024-04-23 15:00:00,125.0,142.0,25.9,5.5
"D M Colony, Bihar Sharif, India",2024-04-23 16:00:00,69.0,47.0,3.8,1.4
"SFTI Kusdihra, Gaya, India",2024-04-23 16:00:00,93.0,64.0,7.1,3.8
"Central Jail, Buxar, India",2022-12-01 17:00:00,241.0,147.0,1.6,1.5
"Darshan Nagar, Chhapra, India",2024-04-23 16:00:00,126.0,73.0,10.2,5.2
"Town Hall - Lal Bagh, Darbhanga, India",2023-01-14 13:00:00,192.0,170.0,1.6,10.1
"Collectorate, Gaya, India",2024-04-23 16:00:00,139.0,NaN,0.8,7.5
"Industrial Area, Hajipur, India",2024-04-23 16:00:00,121.0,176.0,22.4,3.1
"Town Hall, Munger, India",2024-04-23 16:00:00,169.0,114.0,2.8,6.0
"Mirchaibari, Katihar, India",2024-04-23 16:00:00,55.0,122.0,9.1,6.5
"Gandak Colony, Motihari, India",2024-04-23 16:00:00,115.0,56.0,17.7,3.2
"Town Hall, Munger, India",2024-04-23 16:00:00,169.0,114.0,2.8,6.0
"Buddha Colony, Muzaffarpur, India",2024-04-23 16:00:00,185.0,147.0,15.5,4.0
"IGSC Planetarium Complex, Patna, India",2024-04-23 16:00:00,94.0,NaN,4.2,2.0
"Police Line, Saharsa, India",2024-04-23 14:00:00,46.0,91.0,2.6,6.2
"DM Office_Kasipur, Samastipur, India",2024-04-22 09:00:00,144.0,86.0,1.6,3.1
"Chitragupta Nagar, Siwan, India",2024-04-23 15:00:00,63.0,72.0,8.3,11.4
"Sector 22, Chandigarh, India",2024-04-23 16:00:00,57.0,52.0,17.9,2.8
"Sector 22, Chandigarh, India",2024-04-23 16:00:00,57.0,52.0,17.9,2.8
"Civic Center, Bhilai, India",2024-04-23 16:00:00,47.0,51.0,5.8,4.1
"Mangala, Bilaspur, India",2024-04-23 16:00:00,64.0,42.0,5.1,5.0
"Civic Center, Bhilai, India",2024-04-23 16:00:00,47.0,51.0,5.8,4.1
"Doon University, Dehradun, India",2024-04-23 16:00:00,97.0,131.0,0.4,1.0
"Phase-1 GIDC, Vapi, India",2024-04-23 16:00:00,84.0,62.0,2.4,21.2
"Phase-1 GIDC, Vapi, India",2024-04-23 16:00:00,84.0,62.0,2.4,21.2
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",2024-04-23 15:00:00,154.0,NaN,NaN,NaN
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",2024-04-23 15:00:00,154.0,NaN,NaN,NaN
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",2024-04-23 15:00:00,154.0,NaN,NaN,NaN
"Maninagar, Ahmedabad, India",2024-04-23 16:00:00,66.0,60.0,9.3,18.8
"GIDC, Ankleshwar, India",2024-04-23 16:00:00,90.0,56.0,11.9,14.3
"IIPHG Lekawada, Gandhinagar, India",2024-04-23 16:00:00,136.0,66.0,8.9,5.9
"13 Lenin street, Oha, Russia (ул.Ленина, д.13)",2022-01-12 05:00:00,10.0,4.0,0.7,NaN
"Patti Mehar, Ambala, India",2024-04-23 16:00:00,3.0,51.0,1.4,2.7
"H.B. Colony, Bhiwani, India",2024-04-23 16:00:00,93.0,51.0,0.9,88.0
"Sector 22, Chandigarh, India",2024-04-23 16:00:00,57.0,53.0,17.5,3.0
"Sector16A Faridabad, Faridabad, India",2024-04-23 16:00:00,144.0,NaN,4.4,5.6
"Urban Estate-II, Hisar, India",2024-04-23 16:00:00,94.0,87.0,6.6,52.1
"Police Lines, Jind, India",2024-04-23 16:00:00,51.0,73.0,3.8,0.6
"Rishi Nagar, Kaithal, India",2024-04-23 16:00:00,62.0,64.0,8.9,15.7
"Sector-12, Karnal, India",2024-04-23 16:00:00,156.0,75.0,4.3,5.1
"MD University, Rohtak, Rohtak, India",2020-01-13 04:00:00,223.0,NaN,7.1,2.8
"F-Block, Sirsa, India",2024-04-23 16:00:00,100.0,64.0,3.7,5.2
"Murthal, Sonipat, India",2024-04-23 16:00:00,82.0,73.0,13.7,11.9
"Mangala, Bilaspur, India",2024-04-23 16:00:00,64.0,42.0,5.1,5.0
"Unna-Königsborn, Germany",2024-04-23 11:00:00,21.0,NaN,3.2,NaN
"Rajbagh, Srinagar, India",2024-03-04 09:00:00,58.0,41.0,4.6,4.8
"Tata Stadium, Jorapokhar, India",2024-04-23 11:00:00,NaN,NaN,6.1,6.2
"Hombegowda Nagar, Bengaluru, India",2024-04-23 16:00:00,79.0,55.0,6.7,1.6
"Ramteerth Nagar, Belgaum, India",2024-04-23 16:00:00,53.0,49.0,21.3,3.8
"Kalyana Nagara, Chikkamagaluru, India",2024-04-23 16:00:00,85.0,54.0,7.0,1.4
"Devaraj Urs Badavane, Davanagere, India",2024-04-23 16:00:00,91.0,53.0,5.4,2.6
"B.Katihalli, Hassan, India",2024-04-23 16:00:00,81.0,65.0,5.7,9.5
"Lal Bahadur Shastri Nagar, Kalaburagi, India",2024-04-23 16:00:00,34.0,22.0,4.4,7.9
"Tamaka Ind. Area, Kolar, India",2024-04-23 08:00:00,169.0,219.0,9.7,4.6
"Stuart Hill, Madikeri, India",2024-04-23 16:00:00,71.0,38.0,3.7,1.6
"Kadri, Mangalore, India",2024-04-23 16:00:00,67.0,56.0,2.0,7.0
"Haji Colony, Raichur, India",2024-04-22 17:00:00,NaN,64.0,NaN,NaN
"Vinoba Nagara, Shivamogga, India",2024-04-23 16:00:00,72.0,48.0,4.5,1.1
"Ibrahimpur, Vijayapura, India",2024-04-23 16:00:00,54.0,29.0,5.2,175.6
"Thavakkara, Kannur, India",2024-04-23 16:00:00,114.0,77.0,2.4,0.4
"Kera, Kochi, Kochi Prefecture, Japan (介良高知市)",2024-04-23 19:00:00,13.0,3.0,2.8,1.5
"Polayathode, Kollam, India",2024-04-23 16:00:00,160.0,71.0,3.1,0.3
"Plammoodu, Thiruvananthapuram, India",2024-04-23 16:00:00,59.0,32.0,3.1,5.5
"Corporation Ground, Thrissur, India",2024-04-23 16:00:00,89.0,57.0,2.8,0.1
"Centre, Bvd François 1er, Le Havre, France",2024-04-23 13:00:00,NaN,13.0,NaN,1.1
"T T Nagar, Bhopal, India",2024-04-23 16:00:00,66.0,65.0,3.7,8.0
"Shrivastav Colony, Damoh, India",2024-01-22 16:00:00,50.0,36.0,2.4,NaN
"Bhopal Chauraha, Dewas, India",2024-04-23 16:00:00,52.0,28.0,4.8,12.7
"Phool Bagh, Gwalior, India",2024-04-23 16:00:00,23.0,7.0,1.7,6.3
"Marhatal, Jabalpur, India",2024-04-23 16:00:00,79.0,56.0,11.8,3.6
"Shasthri Nagar, Ratlam, India",2024-04-23 16:00:00,129.0,60.0,4.8,15.3
"Deen Dayal Nagar, Sagar, India",2024-04-23 16:00:00,51.0,52.0,9.1,7.1
"Bandhavgar Colony, Satna, India",2024-04-23 16:00:00,55.0,51.0,11.6,1.6
"Mahakaleshwar Temple, Ujjain, India",2024-04-23 16:00:00,48.0,50.0,4.2,2.7
"Gurdeo Nagar, Aurangabad, India",2024-04-23 16:00:00,82.0,38.0,2.0,0.4
"MIDC Khutala, Chandrapur, India",2024-04-23 16:00:00,2.0,1.0,4.8,9.3
"Malayer, Hamadan, Iran (ملایر همدان)",2024-04-22 17:00:00,55.0,NaN,36.0,7.0
"Khadakpada, Kalyan, India",2024-04-23 16:00:00,68.0,87.0,11.1,10.8
"Mumbai US Consulate, India (मुंबई अमेरिकी वाणिज्य दूतावास)",2024-04-23 15:00:00,72.0,NaN,NaN,NaN
"Opp GPO Civil Lines, Nagpur, India",2024-04-23 16:00:00,114.0,48.0,10.4,7.6
"Gangapur Road, Nashik, India",2024-04-23 16:00:00,116.0,59.0,4.3,2.6
"Shivajinagar, Pune, Pune, India",2021-11-15 06:00:00,232.0,138.0,198.0,NaN
"Solapur, Solapur, India",2024-04-23 16:00:00,154.0,107.0,19.6,48.9
"Pimpleshwar Mandir, Dombivali, Thane, India",2024-04-23 16:00:00,NaN,60.0,8.5,6.1
"Khadakpada, Kalyan, India",2024-04-23 16:00:00,68.0,87.0,11.1,10.8
"DM College of Science, Imphal, India",2024-04-23 12:00:00,45.0,34.0,2.6,40.9
"Lumpyngngad, Shillong, India",2024-04-23 16:00:00,88.0,42.0,0.6,16.9
"Sikulpuikawn, Aizawl, India",2024-04-23 13:00:00,67.0,70.0,0.6,1.1
"PWD Juction, Kohima, India",2024-04-23 16:00:00,152.0,67.0,1.3,13.4
"Mons, Belgium",2024-04-23 12:00:00,13.0,7.0,NaN,NaN
"Jawahar Nagar, Puducherry, India",2024-04-23 16:00:00,13.0,9.0,0.8,2.7
"Jawahar Nagar, Puducherry, India",2024-04-23 16:00:00,13.0,9.0,0.8,2.7
"Golden Temple, Amritsar, India",2024-04-23 16:00:00,111.0,56.0,9.1,6.2
"Sector 22, Chandigarh, India",2024-04-23 16:00:00,57.0,53.0,17.5,3.0
"Civil Line, Jalandhar, India",2024-04-23 16:00:00,81.0,50.0,13.4,3.4
